,id,label,politics,art,society,charity,interest
637,762975238002966528,Korkut__Fatih,0.24503311258278146,0.06622516556291391,0.2052980132450331,0.48344370860927155,charity
638,440389470,umrangulbin,0,0,0,0,n/a
639,499134312,matricariamilla,0,0,0,0,n/a
640,3527159657,mim_mfd,0.19008264462809918,0.32231404958677684,0.32231404958677684,0.1652892561983471,art
641,961261422,sedatkucukbay,0.1907514450867052,0.34104046242774566,0.2947976878612717,0.17341040462427745,art
642,2882334013,sadecefm,0.13725490196078433,0.35294117647058826,0.3333333333333333,0.17647058823529413,art
643,1727958896,MeryemSuliman,0.2235294117647059,0.08235294117647059,0.3058823529411765,0.38823529411764707,charity
644,2177060726,alperilealper,0,0,0,0,n/a
645,399961979,umit_aksoy,0.21025641025641026,0.2,0.30256410256410254,0.28717948717948716,society
646,195112828,birgariparaf,0.17415730337078653,0.12359550561797752,0.39325842696629215,0.3089887640449438,society
647,1577398141,odmanasli,0.20238095238095238,0.15476190476190477,0.31547619047619047,0.3273809523809524,charity
648,248426373,salimyavuz,0.1807909604519774,0.0847457627118644,0.2824858757062147,0.4519774011299435,charity
649,1015222154,yunuzo,0.17341040462427745,0.1676300578034682,0.3930635838150289,0.2658959537572254,society
650,2940722500,SehirKariyer,0.12716763005780346,0.2832369942196532,0.4393063583815029,0.15028901734104047,society
651,252055450,zemeuu,0.1032258064516129,0.23225806451612904,0.4258064516129032,0.23870967741935484,society
652,446467995,eneskandur1,0.1736842105263158,0.12105263157894737,0.32105263157894737,0.38421052631578945,charity
653,552038301,bananbnbn,0.5,0.0,0.5,0.0,politics
654,2198097822,safsatta,0.15083798882681565,0.18435754189944134,0.4692737430167598,0.19553072625698323,society
655,368914335,TheAfrasiyab,0.20348837209302326,0.22093023255813954,0.3023255813953488,0.27325581395348836,society
656,181186467,n/a,0,0,0,0,n/a
657,73543596,gnageeb,0.0,0.0,0.6666666666666666,0.3333333333333333,society
658,408694701,avcioral,0.267515923566879,0.07643312101910828,0.2484076433121019,0.40764331210191085,charity
659,803364967323942912,selimliyavuz,0.15,0.35,0.4,0.1,society
660,2897104817,IHalilUcer,0.1111111111111111,0.08888888888888889,0.5833333333333334,0.21666666666666667,society
661,713134002,akfyksl,0,0,0,0,n/a
662,334139315,Cengizbeyza,0.23655913978494625,0.11290322580645161,0.3010752688172043,0.34946236559139787,charity
